Sampler,Classifier,Accuracy,Precision,Recall,F1,AUC,TN,FP,FN,TP,Missed_Defaults,Caught_Defaults,False_Alarms
None,XGB_Baseline,0.8182222222222222,0.6695319961795606,0.3520843797086891,0.46148782093482554,0.7722613080018594,6663,346,1290,701,1290,701,346
None,GradBoosting,0.8178888888888889,0.66,0.36464088397790057,0.4697508896797153,0.7681140965418718,6635,374,1265,726,1265,726,374
None,SVM,0.814,0.6609137055837564,0.3269713711702662,0.4375,0.7123852169976765,6675,334,1340,651,1340,651,334
None,RF,0.8094444444444444,0.6014705882352941,0.4108488196885987,0.4882124738883915,0.7614166015582032,6467,542,1173,818,1173,818,542
None,LR,0.8092222222222222,0.7026627218934911,0.23857358111501759,0.35620547431571054,0.7124505702971118,6808,201,1516,475,1516,475,201
SMOTETomek,GradBoosting,0.8074444444444444,0.5893351800554016,0.4274234053239578,0.4954876273653566,0.7561572374587054,6416,593,1140,851,1140,851,593
ADASYN,GradBoosting,0.8067777777777778,0.5861833105335157,0.43043696634856854,0.4963799594555459,0.7527891777802508,6404,605,1134,857,1134,857,605
SMOTE,GradBoosting,0.8057777777777778,0.5837353549276361,0.425414364640884,0.49215572341661823,0.7587953394785021,6405,604,1144,847,1144,847,604
BorderlineSMOTE,GradBoosting,0.7977777777777778,0.5528756957328386,0.4490205926670015,0.4955654101995565,0.7541091066168137,6286,723,1097,894,1097,894,723
None,ExtraTrees,0.7976666666666666,0.547486033519553,0.4922149673530889,0.5183813805871462,0.7653757073043563,6199,810,1011,980,1011,980,810
SMOTE,ExtraTrees,0.7972222222222223,0.5444801714898178,0.5102963335007534,0.5268343271973036,0.7648332462553168,6159,850,975,1016,975,1016,850
SMOTETomek,ExtraTrees,0.797,0.5440860215053763,0.5082872928176796,0.5255777720072708,0.7653490500374813,6161,848,979,1012,979,1012,848
SMOTE,XGB_Baseline,0.7904444444444444,0.5273010920436817,0.5092918131592165,0.5181400102197241,0.7589452149453536,6100,909,977,1014,977,1014,909
SMOTE,RF,0.7868888888888889,0.5190799790904339,0.49874434957307884,0.5087090163934426,0.7514444906487813,6089,920,998,993,998,993,920
SMOTETomek,RF,0.7865555555555556,0.5180412371134021,0.5047714716223004,0.5113202747392521,0.7515362145778129,6074,935,986,1005,986,1005,935
ADASYN,ExtraTrees,0.786,0.5155576831019627,0.5409342039176294,0.5279411764705882,0.7601960641978647,5997,1012,914,1077,914,1077,1012
